player_id,player_name,team_context,team,season,source_bucket,competition_name,competition_family,seniority,appearances,goals,appearances_source_text,goals_source_text,source_id,source_url,source_granularity
pele,Pelé,club,Santos,1973,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,national_league,senior,30,19,30,19,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1974,Campeonato Paulista,Campeonato Paulista,regional_league,senior,10,1,10,1,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1974,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,national_league,senior,17,9,17,9,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,New York Cosmos,1975,League,League,national_league,senior,9,5,9,5,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,New York Cosmos,1975,Other,Other,all_other_club,senior,14,12,14,12,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,New York Cosmos,1976,League,League,national_league,senior,22,13,22,13,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,New York Cosmos,1976,Postseason,Postseason,all_other_club,senior,2,2,2,2,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,New York Cosmos,1976,Other,Other,all_other_club,senior,18,11,18,11,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,New York Cosmos,1977,League,League,national_league,senior,25,13,25,13,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,New York Cosmos,1977,Postseason,Postseason,all_other_club,senior,6,4,6,4,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,New York Cosmos,1977,Other,Other,all_other_club,senior,11,6,11,6,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,national_team,Brazil,1957,all matches,All matches,national_team_all_matches_unallocated,senior,2,2,2,2,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1958,all matches,All matches,national_team_all_matches_unallocated,senior,7,9,7,9,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1959,all matches,All matches,national_team_all_matches_unallocated,senior,9,11,9,11,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1960,all matches,All matches,national_team_all_matches_unallocated,senior,6,4,6,4,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1962,all matches,All matches,national_team_all_matches_unallocated,senior,8,8,8,8,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1963,all matches,All matches,national_team_all_matches_unallocated,senior,7,7,7,7,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1964,all matches,All matches,national_team_all_matches_unallocated,senior,3,2,3,2,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1965,all matches,All matches,national_team_all_matches_unallocated,senior,8,9,8,9,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1966,all matches,All matches,national_team_all_matches_unallocated,senior,9,5,9,5,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1968,all matches,All matches,national_team_all_matches_unallocated,senior,7,4,7,4,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1969,all matches,All matches,national_team_all_matches_unallocated,senior,9,7,9,7,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1970,all matches,All matches,national_team_all_matches_unallocated,senior,15,8,15,8,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
pele,Pelé,national_team,Brazil,1971,all matches,All matches,national_team_all_matches_unallocated,senior,2,1,2,1,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,calendar_year_bucket
messi,Lionel Messi,club,Barcelona C,2003-04,League,Tercera División,national_league,reserve,10,5,10,5,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona B,2003-04,League,Segunda División B,national_league,reserve,5,0,5,0,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona B,2004-05,League,Segunda División B,national_league,reserve,17,6,17,6,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2004-05,League,La Liga,national_league,senior,7,1,7,1,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2004-05,National cup,National cup,domestic_cup,senior,1,0,1,0,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2004-05,Continental,Continental,continental_federation_cup,senior,1,0,1,0,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2005-06,League,La Liga,national_league,senior,17,6,17,6,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2005-06,National cup,National cup,domestic_cup,senior,2,1,2,1,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2005-06,Continental,Continental,continental_federation_cup,senior,6,1,6,1,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2006-07,League,La Liga,national_league,senior,26,14,26,14,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2006-07,National cup,National cup,domestic_cup,senior,2,2,2,2,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2006-07,Continental,Continental,continental_federation_cup,senior,5,1,5,1,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2006-07,Other,Other,all_other_club,senior,3,0,3,0,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2007-08,League,La Liga,national_league,senior,28,10,28,10,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2007-08,National cup,National cup,domestic_cup,senior,3,0,3,0,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2007-08,Continental,Continental,continental_federation_cup,senior,9,6,9,6,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2008-09,League,La Liga,national_league,senior,31,23,31,23,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2008-09,National cup,National cup,domestic_cup,senior,8,6,8,6,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2008-09,Continental,Continental,continental_federation_cup,senior,12,9,12,9,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
messi,Lionel Messi,club,Barcelona,2009-10,League,La Liga,national_league,senior,35,34,35,34,wikipedia_messi_career_stats,https://en.wikipedia.org/wiki/Lionel_Messi,season_bucket
