player_id,player_name,cap,date,date_iso,venue,opponent,result,competition_name,competition_family,source_id,source_url,goals,cumulative_goals,source_granularity
maradona,Diego Maradona,48,2-6-86,1986-06-02,Cd.de México,South Korea,3-1,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,21,appearance
maradona,Diego Maradona,49,5-6-86,1986-06-05,Puebla,Italy,1-1,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,22,appearance
maradona,Diego Maradona,50,10-6-86,1986-06-10,Cd.de México,Bulgaria,2-0,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,22,appearance
maradona,Diego Maradona,51,16-6-86,1986-06-16,Puebla,Uruguay,1-0,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,22,appearance
maradona,Diego Maradona,52,22-6-86,1986-06-22,Cd.de México,England,2-1,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,2,24,appearance
maradona,Diego Maradona,53,25-6-86,1986-06-25,Cd.de México,Belgium,2-0,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,2,26,appearance
maradona,Diego Maradona,54,29-6-86,1986-06-29,Cd.de México,West Germany,3-2,World Cup,national_team_world_cup_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,26,appearance
maradona,Diego Maradona,55,10-6-87,1987-06-10,Zürich,Italy,1-3,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,27,appearance
maradona,Diego Maradona,56,27-6-87,1987-06-27,Buenos Aires,Peru,1-1,Copa América,national_team_continental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,28,appearance
maradona,Diego Maradona,57,2-7-87,1987-07-02,Buenos Aires,Ecuador,3-0,Copa América,national_team_continental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,2,30,appearance
maradona,Diego Maradona,58,9-7-87,1987-07-09,Buenos Aires,Uruguay,0-1,Copa América,national_team_continental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,30,appearance
maradona,Diego Maradona,59,11-7-87,1987-07-11,Buenos Aires,Colombia,1-2,Copa América,national_team_continental_championship_finals,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,30,appearance
maradona,Diego Maradona,60,16-12-87,1987-12-16,Buenos Aires,West Germany,1-0,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,30,appearance
maradona,Diego Maradona,61,31-3-88,1988-03-31,Berlin,Soviet Union,2-4,Four Nations Cup,national_team_other,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,31,appearance
maradona,Diego Maradona,62,2-4-88,1988-04-02,Berlin,West Germany,0-1,Four Nations Cup,national_team_other,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,31,appearance
